"Table S3. Feature ranking from tree model-based feature importance scores with pangenome feature sets for
erythromycin-resistance prediction models. ""Avg feat importance ranking"" are averaged across 5-fold cross validation sets. ",,,,,,,,,
Feature,Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Avg feat importance ranking,Antibiotic,Classifier,Annotation
group_17225,38,14,1,2,2,1.67,Erythromycin,random forest,Prokka
haeIIIM,21,10,7,1,9,5.67,Erythromycin,random forest,Prokka
group_1949,2,42,3,7,27,12.33,Erythromycin,random forest,Prokka
group_17227,7,121,6,83,19,36,Erythromycin,random forest,Prokka
group_10284,13,286,95,9,14,39.33,Erythromycin,random forest,Prokka
group_11773,32,64,54,30,52,45.33,Erythromycin,random forest,Prokka
group_9275,44,29,48,4,91,47.67,Erythromycin,random forest,Prokka
group_244,3,443,29,20,116,55,Erythromycin,random forest,Prokka
drrB,11,96,41,91,48,60,Erythromycin,random forest,Prokka
group_11247,12,2,132,11,44,62.33,Erythromycin,random forest,Prokka
group_24389,15,336,39,93,59,63.67,Erythromycin,random forest,Prokka
group_13242,40,67,101,79,11,63.67,Erythromycin,random forest,Prokka
group_23735,34,70,33,61,132,75.33,Erythromycin,random forest,Prokka
lemA,41,1144,55,160,58,91,Erythromycin,random forest,Prokka
group_17295,25,66,31,17,265,104.33,Erythromycin,random forest,Prokka
group_1039,27,6132,146,71,150,122.33,Erythromycin,random forest,Prokka
group_4299,26,12,57,339,16,137.33,Erythromycin,random forest,Prokka
group_6865,29,50,382,23,17,140.67,Erythromycin,random forest,Prokka
group_23762,30,99,264,95,63,140.67,Erythromycin,random forest,Prokka
group_23720,14,33,212,233,57,167.33,Erythromycin,random forest,Prokka
group_5880,31,302,182,44,342,189.33,Erythromycin,random forest,Prokka
group_7342,1,40,148,265,166,193,Erythromycin,random forest,Prokka
group_23764,20,610,342,230,77,216.33,Erythromycin,random forest,Prokka
group_23127,36,41,288,24,406,239.33,Erythromycin,random forest,Prokka
group_13233,5,103,51,623,81,251.67,Erythromycin,random forest,Prokka
group_23718,24,172,113,125,531,256.33,Erythromycin,random forest,Prokka
group_23792,50,1056,337,467,60,288,Erythromycin,random forest,Prokka
group_9281,22,214,85,60,803,316,Erythromycin,random forest,Prokka
group_2700,49,1241,190,219,600,336.33,Erythromycin,random forest,Prokka
group_10286,17,71,466,157,451,358,Erythromycin,random forest,Prokka
group_23766,10,68,944,183,61,396,Erythromycin,random forest,Prokka
group_8208,18,442,131,178,896,401.67,Erythromycin,random forest,Prokka
group_4216,35,187,188,566,538,430.67,Erythromycin,random forest,Prokka
group_8428,48,105,1303,176,20,499.67,Erythromycin,random forest,Prokka
group_5932,46,16564,529,1068,51,549.33,Erythromycin,random forest,Prokka
group_24385,39,170,74,545,1087,568.67,Erythromycin,random forest,Prokka
group_6471,28,897,383,119,1392,631.33,Erythromycin,random forest,Prokka
group_5808,6,80,1812,35,161,669.33,Erythromycin,random forest,Prokka
group_13240,43,540,1877,138,72,695.67,Erythromycin,random forest,Prokka
group_107,33,28,401,424,1782,869,Erythromycin,random forest,Prokka
group_11136,45,345,261,217,2366,948,Erythromycin,random forest,Prokka
group_17646,42,23684,626,211,2676,1171,Erythromycin,random forest,Prokka
group_4749,37,409,313,117,3241,1223.67,Erythromycin,random forest,Prokka
group_14443,16,3177,419,3538,852,1603,Erythromycin,random forest,Prokka
group_9114,4,155,185,5346,23,1851.33,Erythromycin,random forest,Prokka
group_14889,8,662,1263,1205,4554,2340.67,Erythromycin,random forest,Prokka
group_23405,23,915,549,305,18309,6387.67,Erythromycin,random forest,Prokka
group_10302,19,340,495,331,18658,6494.67,Erythromycin,random forest,Prokka
group_8264,47,39,338,353,26056,8915.67,Erythromycin,random forest,Prokka
group_5276,9,685,26282,701,1269,9417.33,Erythromycin,random forest,Prokka
CPG DNA methylase,5,27,5,9,21,11.67,Erythromycin,random forest,RASTtk
group_23509,11,91,1,56,14,23.67,Erythromycin,random forest,RASTtk
group_23507,1,18,2,78,2,27.33,Erythromycin,random forest,RASTtk
group_30298,48,57,53,29,7,29.67,Erythromycin,random forest,RASTtk
group_23508,19,5,12,27,61,33.33,Erythromycin,random forest,RASTtk
"ABC-type multidrug transport system, permease component",8,24,3,86,38,42.33,Erythromycin,random forest,RASTtk
group_1938,9,11,45,4,111,53.33,Erythromycin,random forest,RASTtk
group_30290,12,161,6,31,127,54.67,Erythromycin,random forest,RASTtk
group_9149,41,44,89,23,71,61,Erythromycin,random forest,RASTtk
group_5047,10,157,11,65,128,68,Erythromycin,random forest,RASTtk
group_19961,42,7,30,43,142,71.67,Erythromycin,random forest,RASTtk
group_16558,28,447,94,50,170,104.67,Erythromycin,random forest,RASTtk
group_17978,29,12,68,61,191,106.67,Erythromycin,random forest,RASTtk
group_6773,40,698,123,91,123,112.33,Erythromycin,random forest,RASTtk
group_30302,32,39,209,157,19,128.33,Erythromycin,random forest,RASTtk
group_16672,17,275,115,58,275,149.33,Erythromycin,random forest,RASTtk
group_10669,30,51,29,10,463,167.33,Erythromycin,random forest,RASTtk
group_30303,22,177,266,192,100,186,Erythromycin,random forest,RASTtk
group_19520,49,40,297,40,226,187.67,Erythromycin,random forest,RASTtk
group_11135,21,260,387,120,98,201.67,Erythromycin,random forest,RASTtk
group_30289,7,210,139,230,271,213.33,Erythromycin,random forest,RASTtk
group_30340,47,95,414,289,107,270,Erythromycin,random forest,RASTtk
group_23578,14,81,148,18,726,297.33,Erythromycin,random forest,RASTtk
group_5315,23,193,199,249,558,335.33,Erythromycin,random forest,RASTtk
group_15654,3,49,111,896,116,374.33,Erythromycin,random forest,RASTtk
group_3831,46,31882,617,102,450,389.67,Erythromycin,random forest,RASTtk
group_30288,33,286,32,145,1044,407,Erythromycin,random forest,RASTtk
group_16560,50,115,925,270,47,414,Erythromycin,random forest,RASTtk
group_10072,6,1704,59,66,1282,469,Erythromycin,random forest,RASTtk
group_2315,16,78,847,454,210,503.67,Erythromycin,random forest,RASTtk
group_21569,15,409,484,900,396,593.33,Erythromycin,random forest,RASTtk
group_664,4,361,346,219,1306,623.67,Erythromycin,random forest,RASTtk
group_30341,37,32686,737,284,858,626.33,Erythromycin,random forest,RASTtk
group_16549,13,74,1266,101,552,639.67,Erythromycin,random forest,RASTtk
group_30307,27,94,2026,59,39,708,Erythromycin,random forest,RASTtk
FIG00632101: hypothetical protein,20,125,1175,99,996,756.67,Erythromycin,random forest,RASTtk
group_16545,31,423,2198,196,242,878.67,Erythromycin,random forest,RASTtk
group_17702,34,22861,1575,515,792,960.67,Erythromycin,random forest,RASTtk
FIG00629014: hypothetical protein,38,3968,1045,1371,867,1094.33,Erythromycin,random forest,RASTtk
group_7225,2,675,306,2042,1070,1139.33,Erythromycin,random forest,RASTtk
group_21147,45,787,248,3695,18,1320.33,Erythromycin,random forest,RASTtk
group_13081,26,123,1838,2423,40,1433.67,Erythromycin,random forest,RASTtk
group_14323,18,1274,481,1233,3683,1799,Erythromycin,random forest,RASTtk
group_31177,39,43,5437,268,56,1920.33,Erythromycin,random forest,RASTtk
group_16417,43,133,714,2826,6818,3452.67,Erythromycin,random forest,RASTtk
group_16374,25,69,20,276,23832,8042.67,Erythromycin,random forest,RASTtk
group_15618,44,6670,1073,21670,1607,8116.67,Erythromycin,random forest,RASTtk
group_8308,35,142,23632,213,2278,8707.67,Erythromycin,random forest,RASTtk
group_23945,36,2022,1134,240,31216,10863.33,Erythromycin,random forest,RASTtk
group_14897,24,4573,32713,31532,1663,21969.33,Erythromycin,random forest,RASTtk
group_1416,1,1,1,1,1,1,Erythromycin,gradient boosting,Bakta
erm(B),4,2,3,2,8,4.33,Erythromycin,gradient boosting,Bakta
group_10075,8,4268,7,13,3,7.67,Erythromycin,gradient boosting,Bakta
HpaII family restriction endonuclease,30,31,5,6,16,9,Erythromycin,gradient boosting,Bakta
group_2041,44,61,2,18,41,20.33,Erythromycin,gradient boosting,Bakta
ermC,2,6,84,31,4,39.67,Erythromycin,gradient boosting,Bakta
group_23837,41,118,56,19,854,309.67,Erythromycin,gradient boosting,Bakta
group_23839,43,64,61,29,852,314,Erythromycin,gradient boosting,Bakta
group_25033,20,38,149,926,35,370,Erythromycin,gradient boosting,Bakta
group_23813,15,330,361,235,600,398.67,Erythromycin,gradient boosting,Bakta
group_404,19,2931,3078,23,25,1042,Erythromycin,gradient boosting,Bakta
group_10629,13,4427,4279,46,17,1447.33,Erythromycin,gradient boosting,Bakta
group_1894,17,1514,1482,1516,1511,1503,Erythromycin,gradient boosting,Bakta
group_6608,6,4806,78,14,4786,1626,Erythromycin,gradient boosting,Bakta
group_6967,14,3722,3703,3735,3723,3720.33,Erythromycin,gradient boosting,Bakta
group_25330,26,51,38,6811,6819,4556,Erythromycin,gradient boosting,Bakta
group_9937,22,14941,11,21,14910,4980.67,Erythromycin,gradient boosting,Bakta
group_1430,5,9,12,7,15054,5024.33,Erythromycin,gradient boosting,Bakta
ubiE/COQ5 methyltransferase family,10,4,4,15253,31,5096,Erythromycin,gradient boosting,Bakta
group_8506,36,5516,5376,5513,5507,5465.33,Erythromycin,gradient boosting,Bakta
group_25331,46,27,140,8320,8324,5594.67,Erythromycin,gradient boosting,Bakta
group_2763,21,17377,45,17371,7,5807.67,Erythromycin,gradient boosting,Bakta
group_6560,16,21058,23,33,21051,7035.67,Erythromycin,gradient boosting,Bakta
MPN domain-containing protein,28,24809,34,24764,78,8292,Erythromycin,gradient boosting,Bakta
group_13069,48,25253,65,50,25257,8457.33,Erythromycin,gradient boosting,Bakta
group_11422,7,18,27447,25,13,9161.67,Erythromycin,gradient boosting,Bakta
sat4,39,36,29,14222,14219,9490,Erythromycin,gradient boosting,Bakta
group_5316,11,14351,14358,14350,59,9589,Erythromycin,gradient boosting,Bakta
group_9272,3,15468,43,15467,15465,10325,Erythromycin,gradient boosting,Bakta
ycjR,35,15517,15520,37,15515,10357.33,Erythromycin,gradient boosting,Bakta
essC,12,15876,15862,74,15853,10596.33,Erythromycin,gradient boosting,Bakta
group_3595,18,14088,14096,14084,14083,14087.67,Erythromycin,gradient boosting,Bakta
lipoprotein,23,12,15,21134,21158,14102.33,Erythromycin,gradient boosting,Bakta
group_601,42,14408,14414,14405,14402,14407,Erythromycin,gradient boosting,Bakta
peptide-binding protein,45,14468,14474,14467,14464,14468.33,Erythromycin,gradient boosting,Bakta
group_2514,29,22009,30,22008,22007,14681.67,Erythromycin,gradient boosting,Bakta
group_10511,9,22388,22396,22385,6,14929,Erythromycin,gradient boosting,Bakta
group_10755,24,15100,15086,15078,15077,15080.33,Erythromycin,gradient boosting,Bakta
group_5282,34,24486,24439,24441,132,16337.33,Erythromycin,gradient boosting,Bakta
group_5823,50,21072,21080,21066,21066,21070.67,Erythromycin,gradient boosting,Bakta
group_10409,40,21151,21162,21146,21144,21150.67,Erythromycin,gradient boosting,Bakta
Phosphotransferase system protein,25,21428,21492,21422,21422,21445.33,Erythromycin,gradient boosting,Bakta
group_3971,32,21486,21469,21506,21506,21493.67,Erythromycin,gradient boosting,Bakta
group_24925,47,21733,21743,21756,21756,21751.67,Erythromycin,gradient boosting,Bakta
group_6928,31,20,24652,24759,24759,24723.33,Erythromycin,gradient boosting,Bakta
group_3997,38,25063,25072,25074,25068,25071.33,Erythromycin,gradient boosting,Bakta
group_6963,49,25984,25994,25993,25990,25992.33,Erythromycin,gradient boosting,Bakta
group_3553,37,26396,26404,26397,26396,26399,Erythromycin,gradient boosting,Bakta
group_10583,27,26594,26572,26595,26594,26587,Erythromycin,gradient boosting,Bakta
group_11638,33,27382,27443,27449,27442,27444.67,Erythromycin,gradient boosting,Bakta
